Id_Business;Trading_Status;Sales_Status;Sales_Owner;Value;Start_Date;Store_Amount;Segment;Tax_Regime;Campaign;Company_Size
NEG1030;Won;Won;Vendedor 01;41588.45;05/09/2019;1;Frigorifico;Lucro Presumido;prosp_merketing;Pequeno
NEG1062;Lost;Lost;Vendedor 01;37354.09;19/09/2019;1;Frigorifico;Lucro Presumido;prosp_merketing;Pequeno
NEG1094;Lost;Lost;Vendedor 01;40772.20;04/10/2019;1;Frigorifico;Lucro Presumido;prosp_merketing;Pequeno
NEG2965;Proposta;Open;Vendedor 01;35918.37;06/04/2022;1;Frigorifico;Simples Nacional;prosp_merketing;Pequeno
NEG0580;Lost;Lost;Vendedor 01;37010.68;28/01/2019;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG0582;Lost;Lost;Vendedor 01;42448.98;30/01/2019;1;Frigorifico;Lucro Presumido;google;Médio
NEG0592;Won;Won;Vendedor 01;31205.67;05/02/2019;1;Frigorifico;Simples Nacional;google;Pequeno
NEG0595;Lost;Lost;Vendedor 01;33264.60;05/02/2019;1;Frigorifico;Simples Nacional;google;Pequeno
NEG0596;Lost;Lost;Vendedor 01;33207.55;05/02/2019;1;Frigorifico;Simples Nacional;google;Pequeno
NEG0597;Lost;Lost;Vendedor 01;29729.73;05/02/2019;1;Frigorifico;Simples Nacional;google;Pequeno
NEG0598;Lost;Lost;Vendedor 01;37714.29;05/02/2019;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG0600;Lost;Lost;Vendedor 01;32958.80;05/02/2019;1;Frigorifico;Simples Nacional;google;Pequeno
NEG0611;Lost;Lost;Vendedor 01;35328.47;08/02/2019;1;Frigorifico;Simples Nacional;google;Pequeno
NEG0631;Lost;Lost;Vendedor 01;29197.08;18/02/2019;1;Frigorifico;Simples Nacional;google;Pequeno
NEG0637;Lost;Lost;Vendedor 01;29304.03;20/02/2019;1;Frigorifico;Simples Nacional;google;Pequeno
NEG0713;Lost;Lost;Vendedor 01;36923.08;15/04/2019;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG0772;Lost;Lost;Vendedor 01;33964.91;14/05/2019;1;Frigorifico;Simples Nacional;google;Pequeno
NEG0773;Lost;Lost;Vendedor 01;28268.55;14/05/2019;1;Frigorifico;Simples Nacional;google;Pequeno
NEG0785;Lost;Lost;Vendedor 01;47816.09;16/05/2019;1;Frigorifico;Lucro Presumido;google;Médio
NEG0893;Won;Won;Vendedor 01;33611.11;08/07/2019;1;Frigorifico;Simples Nacional;google;Pequeno
NEG0904;Won;Won;Vendedor 01;38661.71;15/07/2019;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG0929;Lost;Lost;Vendedor 01;32713.75;19/07/2019;1;Frigorifico;Simples Nacional;google;Pequeno
NEG0995;Lost;Lost;Vendedor 01;30769.23;20/08/2019;1;Frigorifico;Simples Nacional;google;Pequeno
NEG1140;Lost;Lost;Vendedor 01;38376.38;23/10/2019;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG1200;Won;Won;Vendedor 01;46741.57;20/11/2019;1;Frigorifico;Lucro Presumido;google;Médio
NEG1365;Won;Won;Vendedor 02;40152.09;31/01/2020;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG1549;Won;Won;Vendedor 02;36749.12;04/05/2020;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG1553;Won;Won;Vendedor 02;41089.49;05/05/2020;1;Frigorifico;Lucro Presumido;google;Pequeno
